source|title|text
https://www.themoviedb.org/movie/837286|Semangat Ular|Zaiton comes under the influence of the spell cast by a snake spirit. With her body under possession, she incapacitates her father and is lured to a hypnotised rendezvous with the snake spirit in his harem pit. The spirit takes on an anthropomorphised form and charms Zaiton, convincing her that her fiancée Rahim is a philanderer. Rahim and Zaiton’s father turn to a wise shaman to rescue Zaiton.
https://www.themoviedb.org/movie/25886|Graveyard Disturbance|Five young robbers spend a whole night in a dark catacomb to win a priceless treasure. They will have to fight against lots of ferocious zombies and vampires. At the end they will meet the Death in person!
https://www.themoviedb.org/movie/702649|Box|"Short film part of ""Three... Extremes"", a horror film collaboration consisting of three segments by three directors from three countries.  Kyoko, a 25 year-old novelist, frequently experiences nightmares of her past as a circus performer."
https://www.themoviedb.org/movie/68180|I, Zombie: The Chronicles of Pain|A young man, while out on a field trip, gets bitten by an ill looking person. When he comes back home he starts getting sick and a slow but steady degeneration begins in his body. He is turning into a zombie. He leaves his girlfriend and moves into his own place. In order to survive he needs to eat human flesh. Against his own consciense, he kills people and eats them in his living room. But things start getting worse as his degeneration progresses.
https://www.themoviedb.org/movie/271798|Rotkäppchen: The Blood of Red Riding Hood|Rose likes Little Red Riding Hood and discovers that her own high school life might be taking a similar trajectory.
https://www.themoviedb.org/movie/897268|Buried Friend|A young man thinks he's gotten away with the murder of his best friend.
https://www.themoviedb.org/movie/84604|Transylvania 6-5000|Bugs is given a room for the night at the castle of Count Bloodcount in Transylvania.
https://www.themoviedb.org/movie/29161|Phenomena|A young girl, with an amazing ability to communicate with insects, is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.
https://www.themoviedb.org/movie/645073|Triptychon of Fear|Takes you into a world full of fear and pure horror in 3 terrifying episodes.
https://www.themoviedb.org/movie/416455|Butcher's Hill|It’s the middle of the 17th Century and a brother and sister are hiding in the garden of an isolated cottage in rural New England. When they enter the house and investigate the kitchen, they gorge themselves on the tempting cakes covering the table. It seems to good to be true.
https://www.themoviedb.org/movie/11917|Saw V|Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.
https://www.themoviedb.org/movie/885346|Barun Rai and the House on the Cliff|Harmesh and Soumili move into their dream home, unbeknownst to the spate of mysterious suicides plaguing the area and local police force. Perplexed and alarmed by the high rate of unexplained deaths, the pair seek answers from Detective Barun Rai, a specialist investigator famed for unravelling paranormal crimes.
https://www.themoviedb.org/movie/47894|Terror in the Aisles|A non-stop roller coaster ride through the scariest moments of the greatest terror films of all time.
https://www.themoviedb.org/movie/461055|Brethren|An ordinary day in a cafe takes a bizarre twist for Alice and Sharon.
https://www.themoviedb.org/movie/690658|Biocrisis|Virus outbreak turns inhabitants of a small Swedish town into zombies.
